what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1354830127786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354830131715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354830190154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354830193417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354830718069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354830723333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354830727137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354830729052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354831196277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354831202461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354831204546
closed,editor,com.adobe.flexbuilder.project.ui,4.6.0.328916,"com.adobe.flexbuilder.ui.StartPage",1354831204600
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354831215733
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1354831218622
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1354831218623
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1354831218623
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1354831218623
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1354831218623
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1354831218638
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1354831218639
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1354831218639
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1354831218639
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1354831218639
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1354831218639
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1354831218639
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1354831218640
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1354831218640
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1354831218640
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1354831218640
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1354831218640
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1354831218640
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1354831218640
stopped,bundle,org.eclipse.wb.swing.databinding,1.0.0.r37x201106081552,"org.eclipse.wb.swing.databinding",1354831218640
